parameter,year,median,lower,upper
Minimum,1985,0.0883259118310926,0.08424605612983414,0.09249610999429643
Minimum,1986,0.0753719386357986,0.07252350480465589,0.078025453703457745
Minimum,1987,0.0871972016519025,0.08287454064041891,0.09135707974851907
Minimum,1988,0.08123497781860489,0.07803176869839214,0.08427674661150358
Minimum,1989,0.08128735017357322,0.07871671716989535,0.08390084158339368
Minimum,1990,0.08012750478136077,0.07822927914860668,0.08202188535579537
Minimum,1991,0.08154298586504916,0.07903872568940813,0.08403653651509399
Minimum,1992,0.08049850444389622,0.0773079094140098,0.08359660178044437
Minimum,1993,0.08227198131705396,0.07903985243451649,0.08541601208965405
Minimum,1994,0.08928848992262418,0.08490375806242989,0.09362772555709896
Minimum,1995,0.0808023037743187,0.07598753134426518,0.08541681874809919
Minimum,1996,0.08024579129344052,0.0756342835269627,0.0847724822043512
Minimum,1997,0.08325753160362556,0.08051769930750818,0.08612383552568316
Minimum,1998,0.08457587108649042,0.08051763633485816,0.08865364708812035
Minimum,1999,0.08154096876115326,0.07755770860590783,0.08547112071234075
Minimum,2000,0.08145819107124508,0.07874903167604817,0.0841687065923072
Minimum,2001,0.08444679991982945,0.08150071288239036,0.08735794057517507
Minimum,2002,0.08549448001747072,0.0831327261231253,0.0879035897544285
Minimum,2003,0.08788900396345838,0.08431774972406121,0.09139884669289688
Minimum,2004,0.08682733730205142,0.08312887827301801,0.09065910243698727
Minimum,2005,0.08967902908869285,0.08728767093183938,0.092016739260516
Minimum,2006,0.08621261307976197,0.08267874976030658,0.08963533340791614
Minimum,2007,0.08582873532574897,0.08405298929864585,0.0875793973869583
Minimum,2008,0.08877076483847965,0.08558871131734645,0.09192835070021414
Minimum,2009,0.08766301438509196,0.08426579375353954,0.09100532636973953
Minimum,2010,0.09126604739917113,0.08888759308873542,0.09351604203952613
Minimum,2011,0.08563326108567815,0.08325928419317162,0.08802496407288422
Minimum,2012,0.09119479157294091,0.08819150752647767,0.09421080636814419
Minimum,2013,0.0998208799209918,0.09693757208601037,0.10282292318830753
Minimum,2014,0.09793233586447612,0.09563344800403653,0.10026637310471913
Minimum,2015,0.0994316295926177,0.0972252012126791,0.10167496618528035
Maxmium,1985,0.16047888925675402,0.15283164355855292,0.16817774403053248
Maxmium,1986,0.14386148608749794,0.1387195507714962,0.14894086428300166
Maxmium,1987,0.1551888791282216,0.14455935096048833,0.16528274183489278
Maxmium,1988,0.16630811953019337,0.1576582935366754,0.1756020732142592
Maxmium,1989,0.14197856535299663,0.13770454555444944,0.14622618998740802
Maxmium,1990,0.16248294837245408,0.1560582438326906,0.16917868886976423
Maxmium,1991,0.15399393318578375,0.1434610081332672,0.16413704215400318
Maxmium,1992,0.15157930893239935,0.14448705007814783,0.15872197462141185
Maxmium,1993,0.14046658356230984,0.13601813519199993,0.14492927801097172
Maxmium,1994,0.1541043094689774,0.14540589714732732,0.16295566633717207
Maxmium,1995,0.1504916146974793,0.14123485730015933,0.16010279455435825
Maxmium,1996,0.14491731063642313,0.13763562258626397,0.15200998187351772
Maxmium,1997,0.15069278406490733,0.14409907871448496,0.15759645599491473
Maxmium,1998,0.14949813187571087,0.14382723439323014,0.1551210509851214
Maxmium,1999,0.14502272305920816,0.13853954017960426,0.15200504225624922
Maxmium,2000,0.1587884382441348,0.15459100025477598,0.1626251516837807
Maxmium,2001,0.14411251966899385,0.13957177840643856,0.1486611420466718
Maxmium,2002,0.16644653163621984,0.16204733635172322,0.17076588790517444
Maxmium,2003,0.15624839645411548,0.14663901505355156,0.16575407994963462
Maxmium,2004,0.16175354877515713,0.1557309861019263,0.16787985373734562
Maxmium,2005,0.16950477266869252,0.16478536439997526,0.17427825911520808
Maxmium,2006,0.1470002069994536,0.14172393971318017,0.15235517288609818
Maxmium,2007,0.16835145453981654,0.16468070530895348,0.1719007498224031
Maxmium,2008,0.1620202154103244,0.15572265852839862,0.1687068243046509
Maxmium,2009,0.16117346350706607,0.15607930448841772,0.16673095865716503
Maxmium,2010,0.1701840040557231,0.16540438169129726,0.1756475124325842
Maxmium,2011,0.159050513793511,0.1534019710435715,0.16470349007526508
Maxmium,2012,0.17591858752451536,0.16907204583274743,0.18372089169822375
Maxmium,2013,0.1554377895943512,0.15015013041425918,0.16049588721174518
Maxmium,2014,0.16975007800805392,0.16465817297020816,0.17507187290574336
Maxmium,2015,0.1649753911999619,0.16103535965496157,0.16879684661198077
Gree-up rate,1985,0.27036057987385276,0.2157455030455287,0.340418394007792
Gree-up rate,1986,0.19274833577024017,0.17384804105419552,0.21751521235736776
Gree-up rate,1987,0.19559518646816948,0.14028979390336,0.2636645470087656
Gree-up rate,1988,0.3457442140864247,0.3014478903476495,0.3998422027818793
Gree-up rate,1989,0.34531300560080835,0.28513337699849534,0.41634817321468093
Gree-up rate,1990,0.3180602704048428,0.26679319852877476,0.3794503268148669
Gree-up rate,1991,0.24779494359969617,0.19666643783858878,0.3100848418014672
Gree-up rate,1992,0.28215455550171786,0.23592253385520492,0.3412162051343416
Gree-up rate,1993,0.2549118291239663,0.22867466061970354,0.2862734928350941
Gree-up rate,1994,0.21528096678283165,0.16743829168107563,0.27838007346993116
Gree-up rate,1995,0.22083178665475706,0.1810936962442502,0.2706524414131713
Gree-up rate,1996,0.20749740839315234,0.1630388856402745,0.2722100933249236
Gree-up rate,1997,0.43658302805392113,0.3830622716954398,0.49859729531830843
Gree-up rate,1998,0.2694385094058094,0.21096300007063581,0.3438621524029111
Gree-up rate,1999,0.2717678406293877,0.20919869463017582,0.35107478482132265
Gree-up rate,2000,0.3478753057721867,0.32195654791214445,0.3765590130360976
Gree-up rate,2001,0.2763089220287481,0.24927331036712158,0.30870145863377085
Gree-up rate,2002,0.2560366378563871,0.23595318175107818,0.27990176908740866
Gree-up rate,2003,0.21727824607817806,0.17632956309228176,0.2665944160841516
Gree-up rate,2004,0.18920496687300736,0.1622694572562455,0.22954977122164275
Gree-up rate,2005,0.23127279645500884,0.19885186329122978,0.27561498062305306
Gree-up rate,2006,0.26563796011146534,0.24469242822665882,0.289147534240513
Gree-up rate,2007,0.2901379608745469,0.27314707720311454,0.3081402681380436
Gree-up rate,2008,0.3011371422794704,0.26058491637890935,0.3449577136654803
Gree-up rate,2009,0.2314680012509538,0.18031042609503714,0.29630739372931525
