permutations,predictor,median,lower,upper
1,Temperature,-5.101085498480188,-7.577333472287199,-1.9164404761362415
1,Chilling,-0.5423370281839115,-2.270098021713864,0.7259297428548469
1,Temperature x Chilling,-1.0313340776352318,-4.073262711938898,0.7849923680477113
2,Temperature,-5.392190035752472,-7.16979907629571,-3.411196499580584
2,Chilling,-0.7222235086482112,-2.0050915395646527,0.3105752876677725
2,Temperature x Chilling,-0.9084472305087654,-2.8380672615326286,0.4221730901960254
3,Temperature,-5.7032895857166155,-7.155824916359914,-4.111223520273464
3,Chilling,-0.7243329134671953,-1.7752166110774126,0.1314017677011136
3,Temperature x Chilling,-0.5299938349237474,-1.9603686813522223,0.5968748368720157
4,Temperature,-5.71920839491055,-6.916989693298115,-4.411642643376791
4,Chilling,-0.7563742203143137,-1.6305947555973468,-0.022943991178983963
4,Temperature x Chilling,-0.5123077079082915,-1.6825268170465497,0.46573838817643254
5,Temperature,-5.602217385758006,-6.710073119476653,-4.377658399455677
5,Chilling,-0.8418065849106382,-1.6177316392516115,-0.1629331583862699
5,Temperature x Chilling,-0.6151259886513224,-1.7164110243115334,0.2781677790290891
6,Temperature,-5.235979138604648,-6.315540586538,-4.082335961376559
6,Chilling,-0.8581010958921598,-1.5895035048587576,-0.21122578688493415
6,Temperature x Chilling,-0.7582350219903154,-1.8264766474338776,0.10199554750174697
7,Temperature,-5.31558610172179,-6.292750267592076,-4.291368866265882
7,Chilling,-0.9232892194270226,-1.5977178947217698,-0.31951233758110253
7,Temperature x Chilling,-0.7254092524154537,-1.6713821512749596,0.04853865829061721
8,Temperature,-5.215454622513959,-6.138354339712449,-4.245453516039406
8,Chilling,-0.8746678757460149,-1.4864021623690187,-0.3226472541862697
8,Temperature x Chilling,-0.8404640209137852,-1.7423818233310366,-0.06596149361363454
9,Temperature,-5.23541265114225,-6.093971728646447,-4.314661953961041
9,Chilling,-0.8651874260489123,-1.4324315217110577,-0.3437938130776931
9,Temperature x Chilling,-0.8127760346254614,-1.648255853907344,-0.07657188031592467
10,Temperature,-5.254938049449402,-6.064301630032778,-4.402868508737381
10,Chilling,-0.9012620578969213,-1.4283287981812927,-0.4100881682203043
10,Temperature x Chilling,-0.8038609386197813,-1.5920740473661175,-0.11656016518309892
